Professor Name,0,1,2,3,4,5,6,7,8,9,10
V Krishna Nandivada,0.0,-0.4890096469218258,0.2445048234609129,-0.4890096469218258,1.4670289407654775,-0.4890096469218258,-0.7335144703827388,-0.9780192938436516,2.445048234609129,-0.7335144703827388,-0.2445048234609129
Naveen Garg,0.08948249794078404,-0.566722486958299,3.042404929986658,-0.566722486958299,-0.566722486958299,-0.566722486958299,0.08948249794078404,0.08948249794078404,-0.23861999450875745,-0.23861999450875745,-0.566722486958299
Arpita Patra,-0.4805110705617177,-0.5693450499932958,0.496662703185641,0.4078287237540629,-0.16959214255119448,-0.6137620397090848,-0.6581790294248738,2.895180147838249,-0.0363411734038274,-0.6137620397090848,-0.6581790294248738
Arnab Bhattacharya,-0.8778086039709792,0.40964401518645704,-0.23408229439226108,-0.23408229439226108,1.6970966343438934,-0.8778086039709792,1.6970966343438934,-0.8778086039709792,1.0533703247651751,-0.8778086039709792,-0.8778086039709792
Jayant Haritsa,0.030081329533234204,-0.5214097119093933,-0.3008132953323423,-0.3008132953323423,0.5815723709758618,-0.8523043367749699,2.787536536746372,-0.1905150870438168,0.47127416268733624,-0.8523043367749699,-0.8523043367749699
Bhavana Kanukurthi,0.07332355751067668,-0.7332355751067665,0.07332355751067668,0.8798826901281197,-0.7332355751067665,-0.7332355751067665,-0.7332355751067665,2.493000955363006,0.8798826901281197,-0.7332355751067665,-0.7332355751067665
Kartik Nagar,-0.4517699029348238,-0.4517699029348238,-0.15944820103582014,-0.7440916048338274,0.13287350086318347,-0.4517699029348238,1.0098386065601943,-0.15944820103582014,2.763768817954216,-0.7440916048338274,-0.7440916048338274
Devarajan Sridharan,-0.47382078878257483,1.5031556057929958,-0.47382078878257483,2.222056112911385,0.9639802254542038,-0.47382078878257483,-0.6535459155621721,-0.6535459155621721,-0.47382078878257483,-0.6535459155621721,-0.8332710423417695
Balaraman Ravindran,-0.29286596551193567,0.3792508905909958,0.1474864574520539,2.9286596551193567,0.24019223070763068,-0.24651307888414728,-0.6405126152203485,-0.4319246253953008,-0.6173361719064543,-0.7332183884759252,-0.7332183884759252
Siddharth Barman,-0.41732158268029534,-0.41732158268029534,3.1366428633712515,-0.1211578788426664,-0.41732158268029534,-0.41732158268029534,-0.1211578788426664,-0.2692397307614809,-0.1211578788426664,-0.41732158268029534,-0.41732158268029534
Chaya Ganesh,-0.4311306135592268,-0.31256969483043945,-0.1940087761016521,-0.1940087761016521,-0.07544785737286473,-0.4311306135592268,-0.4311306135592268,3.125696948304394,-0.07544785737286473,-0.4311306135592268,-0.5496915322880142
Anurag Mittal,0.1435916317235476,2.0521637367157015,-0.5803495115493383,2.0521637367157015,-0.18547252430958236,-0.5803495115493383,-0.5145366803427124,-0.25128535551620834,-0.7119751739625904,-0.7119751739625904,-0.7119751739625904
