Professor Name,0,1,2,3,4,5,6,7,8,9,10,h-index,Total Publications,Score
Uday Reddy Bondhugula,0.06346217266574469,0.03873265575265893,0.3461680788249254,0.21155508035058468,0.08174599121441166,0.053259099738273745,0.03536122963748867,0.008340507824720067,0.024122670263836188,0.0,0.13725251372735597,3.0017894246721095,0.9759238950635376,-0.41264889760934553
Rijurekha Sen,0.020349515696113898,0.04136825449700201,0.0,0.5549242222777837,0.13653089981604896,0.14853948762081295,0.0,0.0567290045730122,0.041558615519226405,0.0,0.0,1.0668920754032531,1.0668920754032531,-0.4901936562663596
Sudeshna Kolay,0.0,0.0,0.8900226757369615,0.07142857142857142,0.0,0.0,0.030612244897959186,0.007936507936507938,0.0,0.0,0.0,1.032444935562612,2.077407164910671,-0.28511613622407106
Chandan Saha,0.0,0.0,0.8446492575524833,0.15535074244751662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4723308905460044,1.6223516606124007,-0.18108253159455037
Animesh Mukherjee,0.4275218068010585,0.08126708676807723,0.056563823351482155,0.2393425586605706,0.11400864350256415,0.07563322319554755,0.0,0.0056628577206997675,0.0,0.0,0.0,1.546925928344797,1.7757667318334758,-0.3534477006264068
Pabitra Mitra,0.02625686159911071,0.2054162139259132,0.004492579221821098,0.45767922648659065,0.08171850629241524,0.12330847929912804,0.004909409701928696,0.013526570048309178,0.016025486758116454,0.06666666666666665,0.0,2.9634660909330934,0.5825965772848763,-0.26694906626576187
Anirban Dasgupta,0.02166511337395359,0.055149062418339896,0.34660468478006723,0.25926432315534664,0.18177991548498543,0.0,0.10060051103091042,0.003213220105577232,0.031723169650819505,0.0,0.0,2.45958633737107,1.7868432491285686,-0.3556972384263536
Kartik Nagar,0.007469056764831412,0.020999999999999998,0.08636096884336321,0.0,0.109686406316688,0.045950455441077925,0.27530532938564023,0.0995434328458791,0.35468435040252005,0.0,0.0,1.0907936265084308,1.3717820646970027,-0.6928721115581552
Om P. Damani,0.0048484848484848485,0.20486331849968212,0.05878787878787879,0.19230027548209366,0.009324009324009324,0.3820253510444898,0.008264462809917356,0.055944055944055944,0.026225895316804405,0.057416267942583726,0.0,2.4964202487165625,1.2007879114825926,-0.4328354702471958
Neeldhara Misra,0.0,0.0,0.8767251461988305,0.014814814814814814,0.04,0.007407407407407407,0.0,0.04,0.021052631578947368,0.0,0.0,0.9968073616158635,2.4841276004948813,-0.1510158662146828
Ajit Rajwade,0.07657673281401035,0.25952827408993917,0.26224950274935294,0.09161472282228668,0.24802082716085663,0.036544850498338874,0.0,0.0047185709470845974,0.0074418604651162795,0.013304658453014508,0.0,0.18923663653631934,2.7224560609112745,-0.40611457953300023
Chetan Arora,0.010755036287126584,0.3705796000393947,0.03774278279430047,0.3321708346956764,0.0808040970102053,0.08971189359314502,0.006203370636823875,0.042999648046524876,0.01932503199576238,0.009707704901040547,0.0,-0.17399487505714925,1.2932479882201033,-0.544966014874413
Siddharth Barman,0.0,0.0,0.8397556863929146,0.06481481481481481,0.0,0.0,0.03819444444444444,0.041666666666666664,0.015568387681159418,0.0,0.0,1.2747811844413641,2.717144186432275,-0.11224819854733807
Bivas Mitra,0.018392595699445374,0.17324412754967258,0.03510887522308233,0.2845506320045028,0.21258660143129948,0.19272514389116177,0.0,0.024492717200083045,0.03650141503764328,0.022397891963109352,0.0,0.5075212642732394,2.6266720803006844,-0.3816007085382754
Arnab Bhattacharya,0.0,0.1547292889758643,0.035225048923679066,0.10204081632653061,0.38354978354978353,0.0,0.253865182436611,0.0,0.07058987978753144,0.0,0.0,3.2117526975992137,0.9335626576676203,-0.28972634203477865
Chaya Ganesh,0.0,0.01587301587301587,0.0639850142955733,0.06089532587228439,0.05675680068921236,0.2135298563869992,0.023809523809523805,0.49883668797306835,0.029579081222771562,0.03673469387755101,0.0,0.6885126662938112,1.9759130740166693,-0.3679952770004909
Vinod Ganapathy,0.020078011611030473,0.03701040564807754,0.0,0.05510764392839864,0.15403406775139017,0.39160237233123363,0.0,0.19451993665120923,0.07424517309177475,0.07340238898688549,0.0,3.2151006936275075,0.9465442103951052,-0.29506982390600495
Piyush Rai,0.04297937202004483,0.09481829676536882,0.014631519610490144,0.6789763321615092,0.13451075211203198,0.0,0.0,0.011833250534623533,0.013986013986013983,0.008264462809917354,0.0,0.744854508772866,1.3565792436606856,-0.41312609305491316
Aritra Hazra,0.03740490278951817,0.06413220224237924,0.3082749307730505,0.24828585074503298,0.013986013986013986,0.08272839132970865,0.0,0.18843760043494429,0.018288569237813714,0.0,0.038461538461538464,0.33264204757975796,3.113234523184268,-0.3851739447637976
Shirish Shevade,0.13341359345076095,0.0541244424803092,0.037306705498925175,0.5288936827751934,0.09202667836385953,0.02849211804092854,0.013222660876917085,0.024159523915264026,0.0,0.0,0.08836059459784208,0.9484148896984347,1.205260637791703,-0.5144891537893107
Chester Rebeiro,0.0,0.07861757881188834,0.17853641916150395,0.08736889382050671,0.12491132584971928,0.07497589948856978,0.0034873583260680036,0.358009708932912,0.07845254190404208,0.015640273704789834,0.0,1.1366524039605048,2.594053813870045,-0.39678734037909835
